Signature,Time,Action,From,To,Amount,Flow,Value,Decimals,TokenAddress
4GmMw2Yu4u1W6uwWWg2WrZvbkhuCap3rEfApByEvEg4pAGJAKL5KNWEwFiFUBQ4pzNJQPJPH4hwbHKGF1GCfem5d,1741321140,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,GQ7LyMpTPPN5fGxguzLxigMcQ68ykLwa3T8onvaop1AB,99990000000,out,14123.59,9,SOL
4gKmuRGpeETet7EaVvKSW1mu1P7cbHNs3JWheBfpBjbeFvzqsWSnPyHW3xUWq2irRLb32RR5oqCj5GeoQivJNyXa,1741319948,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,Gb3F1gTS584Pf8sCPgmERAbYTR3C6B1EnAKYbtZKx4R1,99990000000,out,14106.59,9,SOL
5rCZ1DBGCmFSVNCFyxQYuUgif5BKEsLMG5PFEwnVK9sc76DvfiUgF88Db2XeB8ZzpwuZeo4EW6E63gYVGXMAL9q3,1741319915,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,6d7D4gYtzPMhhkokSnzFC6CqKmPnJViKVvQYbFnCU3eV,99990000000,out,14106.59,9,SOL
4XyrM5aSoEHQTU3fN1vMwu2sV8zBF8XyE4kNreBRqeWsKXQYcL9SrRiv6hXswMioMqh9iZBo7uWV7ch2JRYWgTRa,1741319016,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2Q7AJVGYBjCQ5R3dpEzmxWn8ybv76ASYQfKWg793jLQC,99990000000,out,14132.59,9,SOL
3RTPe3MH9Z1gFRvnFFZK7nqXnHoqXvF1Eukr1u8vpFR9pmnhtbwX3Lq6htGMRTkAwPyT9aCcEyjbE5HwRKAcr1AC,1741318804,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,CkdE7j3x65PKf3W9yRbbtRX5BKqTuKffQttNVqTxzZzC,70750000000,out,9996.98,9,SOL
38mtXopZkdB83yPJataNUqqyKzvgK1syoZswQzPDmSR3RnDD2YhLMZKMNXEeAW33nf62ou5euEua8h5MsxAAaNc7,1741316086,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,HcTK1JDhzA7H1JpfJ8MwJrCcBbWQUp5Dww34agRHTHBu,99990000000,out,14085.59,9,SOL
2Mizr5zCxD6ssVTBUfShYzSMY3hKthbk7Xbh69m19RhvRHyMyt3zBfYSVyFQm3tHS5Ahfnt4iFxogbAvQxcjfYEH,1741316048,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,CMpQaR2P6RrdtT1CYQWW45ecRdgvQaCiHSFGGt1RTP3A,99990000000,out,14085.59,9,SOL
5r22aBoL1oLt6ffDPjRE77HgDfqQL2pHrU6aK3obGVoMdoKxCxwvUyDmoFVBMG6udKR1EYMsaTQVfPipcRFGMS21,1741311954,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,5seghpMnpy5dyDZmxGn6oEYyKxPVaM98sRguSLSvW5Kc,61467399520,out,8584.54,9,SOL
EfydgAczSWkM6wTvLVSG9wCxhTqZsnQiFoRiJVvxAQSrKNMAV1B7mpqwiWPqiHFMA8m7zJePZcTHbs4t7ELKaQG,1741310834,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2A71J9RBKLsrFpuc18o93yCq8Mc9bSYL99sqXJeWiV88,65982300000,out,9170.88,9,SOL
4CLveXjC6Acd2E1gCWT1nuiynwiJbiRJqBbAhpgSqqp1ZNieSrWRkmo9WQBtz8AdLtN2wnenRWLjaDvYAYccfEJS,1741307290,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,Bzz4pshwQ5YCkgL4dA44qEcbNA7Kbw7aP93PFHvxJTDa,60333000000,out,8410.42,9,SOL
2FxsYyHck2EJk49FLbW55Sz3Ss5Agv3whcsVN2tCFMnUvpnGe6YgJxJVspxA1h11KznsytCQeDFWh31AdMKNGW5k,1741298855,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,CsbRU6EcpgxwCaDVp6AKS7kLiRAbD19rLFyxKry7SHeu,96824800000,out,14067.68,9,SOL
2qANc899KeqaP8TDb4ft1wgNyaGCiKCQMcUmvF2wXFMmoksgh4vWtGuiUisuD6Nzmzqbbb1LFhm4qRMdmTjfAKc8,1741291241,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,APcmG9iYxYnLNDSHLnBx9rTWciSbqD3SAudp1vCwu9Dy,60000000000,out,8634,9,SOL
PAxE8xnmV6njsoWiL9xGwC2K1bEGw7k5x2i3bWYAWqGdcEkAac45Zw7XuryT1NG1L8HLiqRYRckQjVWodQxQ1ag,1741290885,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,EJa5cEsWz1rivEdWupQteNRqPkiTq5M9Hoz2VnWzCFy,60000000000,out,8694,9,SOL
2qfETW7ZY74A7vwnDXLTTBWpgwkx3ficGK6314MMQZqEDAFhHqH2U38KxUFuqB96VPDnuhpNBgjNHsSx9HXKojmV,1741289876,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,Bk4L1KXr3WoedVoV1v2w3xcsMeDSDDrKhVzf8dTqkk3c,60000000000,out,8573.4,9,SOL
3kBwHj3ZrtWh9hsbC9Js8UXy8F1Lg5GhCcYKeGExNF4H6ZptScqCFpa76YGMq8vMihmsG8rY32Fo4JLVokhuVc8k,1741287380,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,EheoKAS18rxVaWM6AbTPrhYqeBa3eGyBriCMLw8viAoa,60000000000,out,8602.8,9,SOL
43R6DaVvuz6WbgMD271FXMo4DP3iLXgAAXigGhEunYzmHKQMWYNLB1z1SF6skDqCeUSLctijQcVwwjSuVxtxxPFQ,1741286242,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,D5TTeQcViKGPhc7JGN3AXgANu7qXSJGd4kJzu513PZo3,60000000000,out,8621.4,9,SOL
